,id,english_name,country,lat,lon,quality,length,time,date,sample_rate,remarks,sex,animal_seen,temp,label
0,1088904,Great Tit,Sweden,56.182,14.8897,A,0:24,10:00,2026-03-15,44100,typical,male,yes,,alarm_call
1,985820,Great Tit,Netherlands,53.0228,5.917,A,0:48,08:30,2025-04-04,96000,typical,male,yes,,alarm_call
2,983069,Great Tit,Netherlands,52.9638,6.1637,A,0:40,08:00,2025-03-26,48000,typical,,yes,,alarm_call
3,956913,Great Tit,Estonia,59.3601,24.1552,A,0:07,8:00,2024-12-18,32000,migration,female,yes,,alarm_call
4,956889,Great Tit,Estonia,59.3601,24.1552,A,0:18,8:00,2024-12-18,32000,typical,male,yes,,alarm_call
5,956880,Great Tit,Estonia,59.3601,24.1552,A,0:16,8:00,2024-12-18,32000,migration,male,yes,,alarm_call
6,917135,Great Tit,Portugal,41.5693,-8.4042,A,0:55,11:30,2024-06-27,44100,typical,,yes,,alarm_call
7,899545,Great Tit,Germany,47.9699,10.9755,A,0:19,08:25,2024-02-05,44100,typical,male,yes,,alarm_call
8,879816,Great Tit,Sweden,63.9334,20.3735,A,0:18,08:00,2024-03-08,48000,typical,,yes,,alarm_call
9,879815,Great Tit,Sweden,63.9334,20.3735,A,0:39,08:00,2024-03-08,48000,typical,,yes,,alarm_call
10,853713,Great Tit,France,48.6042,-0.4974,A,0:33,11:25,2023-12-08,44100,typical,,yes,,alarm_call
11,833617,Great Tit,Latvia,56.4916,24.7804,A,0:27,11:35,2006-03-26,44100,typical,,yes,,alarm_call
12,823016,Great Tit,France,47.4326,4.4304,A,0:38,08:30,2023-08-15,48000,typical,,yes,,alarm_call
13,806433,Great Tit,Italy,42.5816,11.9066,A,0:47,10:00,2023-06-02,44100,typical,,yes,,alarm_call
14,792451,Great Tit,France,48.1362,7.0875,A,0:31,08:30,2023-04-05,48000,typical,female,yes,,alarm_call
15,782692,Great Tit,France,47.4592,4.4228,A,0:37,09:05,2023-02-25,48000,typical,male,yes,,alarm_call
16,766588,Great Tit,Sweden,61.6348,12.7047,A,0:08,08:01,2021-03-08,48000,typical,,unknown,,alarm_call
17,676609,Great Tit,Estonia,58.0144,24.4494,A,0:50,08:00,2021-09-22,48000,typical,,yes,,alarm_call
18,630951,Great Tit,Belgium,50.4331,4.8907,A,0:30,00:00,2021-03-22,44100,predator,,unknown,,alarm_call
19,629898,Great Tit,Sweden,60.6086,15.8386,A,0:30,12:00,2021-03-13,44100,typical,,yes,,alarm_call
20,612190,Great Tit,Poland,51.2565,23.6977,A,0:21,13:00,2021-01-01,48000,typical,male,unknown,,alarm_call
21,611451,Great Tit,Sweden,60.6086,15.8386,A,0:41,10:30,2020-12-29,44100,typical,,yes,,alarm_call
22,605717,Great Tit,Russian Federation,56.092,47.2613,A,0:17,09:30,2020-11-25,44100,typical,male,yes,,alarm_call
23,597937,Great Tit,Sweden,61.84,16.6114,A,0:25,17:51,2020-10-24,44100,typical,,yes,,alarm_call
24,555065,Great Tit,Sweden,60.7045,15.3944,A,0:16,06:53,2020-05-03,44100,grp,,yes,,alarm_call
25,541533,Great Tit,France,48.8205,2.1781,A,0:24,07:00,2020-04-04,48000,typical,,yes,,alarm_call
26,524164,Great Tit,Germany,52.3467,9.4444,A,0:38,10:47,2020-02-02,44100,typical,,yes,,alarm_call
27,516323,Great Tit,France,42.6638,2.4999,A,0:36,07:47,2017-05-26,48000,typical,male,yes,,alarm_call
28,513540,Great Tit,Spain,41.5694,2.2691,A,0:49,09:30,2019-12-14,48000,typical,,no,,alarm_call
29,489458,Great Tit,Netherlands,51.94,5.9038,A,0:29,05:45,2019-07-25,48000,typical,,no,,alarm_call
